employee_id,name,address,city,postal_code
EMP001,Klemens Löchel,"Andrei-Weihmann-Ring 9321, 22844 Norderstedt",Norderstedt,22844
EMP002,Orhan Seip MBA.,"Ansgar-Davids-Platz 9890, 22629 Ahrensburg",Ahrensburg,22629
EMP003,Ing. Erika Förster,"Tom-Schacht-Ring 2, 22626 Ahrensburg",Ahrensburg,22626
EMP004,Hans Jürgen Kaul,"Vanessa-Wiek-Ring 71, 22880 Wedel",Wedel,22880
EMP005,Sandra Schottin,"Beyerweg 78-21, 21077 Harburg",Harburg,21077
EMP006,Annelore Heintze,"Rustplatz 40, 22629 Ahrensburg",Ahrensburg,22629
EMP007,Mechtild Stoll,"Raimund-Holsten-Straße 62/45, 21109 Harburg",Harburg,21109
EMP008,Univ.Prof. Gotthilf Wilmsen B.Sc.,"Eileen-Schuster-Platz 5276, 20539 Hamburg",Hamburg,20539
EMP009,Urs Rosenow B.Eng.,"Marie-Beckmann-Ring 5-2, 22880 Wedel",Wedel,22880
EMP010,Nathalie Sauer,"Gerdi-Ortmann-Straße 32-44, 21682 Buxtehude",Buxtehude,21682
EMP011,Piotr Biggen,"Säuberlichstraße 93/82, 22629 Ahrensburg",Ahrensburg,22629
EMP012,Lilli Mosemann-Rädel,"Gerhardt-Schottin-Platz 2-7, 22626 Ahrensburg",Ahrensburg,22626
EMP013,Paola Segebahn,"Röhrdanzallee 1, 21682 Buxtehude",Buxtehude,21682
EMP014,Winfried Ullmann,"Dowergring 3-8, 21073 Harburg",Harburg,21073
EMP015,Cornelius Köster B.A.,"Ottoallee 581, 22629 Ahrensburg",Ahrensburg,22629
EMP016,Susann Jäntsch,"Dorina-Junitz-Straße 1, 22629 Ahrensburg",Ahrensburg,22629
EMP017,Raimund Reichmann,"Bogdan-Hendriks-Weg 81, 22629 Ahrensburg",Ahrensburg,22629
EMP018,Vito Reuter B.A.,"Fernando-Sorgatz-Straße 748, 22880 Wedel",Wedel,22880
EMP019,Dr. Anton Kambs B.Sc.,"Kuhlweg 87/28, 21077 Harburg",Harburg,21077
EMP020,Torsten Beckmann,"Dajana-Hartmann-Gasse 40, 22626 Ahrensburg",Ahrensburg,22626
EMP021,Otfried Rudolph-Rust,"Boucseinstr. 9473, 22880 Wedel",Wedel,22880
EMP022,Ing. Hildegart Langern,"Henkallee 26-23, 22850 Norderstedt",Norderstedt,22850
EMP023,Ria Dörr,"Vollbrechtgasse 70, 22309 Hamburg",Hamburg,22309
EMP024,Elfie Bruder MBA.,"Hans-Joachim-Grein Groth-Weg 32-56, 22525 Hamburg",Hamburg,22525
EMP025,Dr. Hansjürgen Neureuther MBA.,"Bernard-Siering-Weg 1, 22844 Norderstedt",Norderstedt,22844
EMP026,Ursula Ziegert,"Nina-Kühnert-Gasse 760, 22848 Norderstedt",Norderstedt,22848
EMP027,Klaus Wähner,"Hörlestraße 52-43, 22880 Wedel",Wedel,22880
EMP028,Prof. Trudi Radisch B.A.,"Karen-Johann-Gasse 9, 21109 Harburg",Harburg,21109
EMP029,Dipl.-Ing. Bruno Roskoth B.A.,"Victoria-Pechel-Gasse 219, 21077 Harburg",Harburg,21077
EMP030,Heidelinde Eigenwillig,"Elly-Butte-Straße 64/43, 22851 Norderstedt",Norderstedt,22851
EMP031,Arndt Renner,"Mielcarekring 80, 22626 Ahrensburg",Ahrensburg,22626
EMP032,Dipl.-Ing. Serge Ring,"Amalie-Hettner-Platz 61/53, 22848 Norderstedt",Norderstedt,22848
EMP033,Valentina Spieß,"Schmidtkeallee 8, 21073 Harburg",Harburg,21073
EMP034,Franz-Peter Holzapfel-Schleich,"Tatjana-Eimer-Ring 91, 21614 Buxtehude",Buxtehude,21614
EMP035,Thekla Birnbaum,"Iris-Karz-Platz 9/8, 22626 Ahrensburg",Ahrensburg,22626
EMP036,Patricia Ehlert,"Evelyn-Löchel-Ring 0, 22626 Ahrensburg",Ahrensburg,22626
EMP037,Arnfried Stumpf,"Fritschweg 98-16, 22627 Ahrensburg",Ahrensburg,22627
EMP038,Gretel Benthin,"Belinda-Beier-Ring 162, 22854 Norderstedt",Norderstedt,22854
EMP039,Vincenzo Hellwig-Fröhlich,"Häringweg 7158, 22629 Ahrensburg",Ahrensburg,22629
EMP040,Catharina Zirme,"Ramona-Lehmann-Gasse 456, 22844 Norderstedt",Norderstedt,22844
EMP041,Dr. Aleksander Sorgatz B.A.,"Ralph-Bender-Straße 5375, 22880 Wedel",Wedel,22880
EMP042,Mariola Reising-Kabus,"Jüttnerring 64, 22397 Hamburg",Hamburg,22397
EMP043,Ing. Monika Zimmer,"Erhard-Heß-Platz 1/2, 22856 Norderstedt",Norderstedt,22856
