employee_id,name,address,city,postal_code,latitude,longitude,snapped_latitude,snapped_longitude,optimal_employee_station,optimal_employee_station_id,optimal_employee_station_rank,optimal_office_station,optimal_office_station_id,optimal_office_station_rank,walk_home_to_station_min,transit_time_min,walk_station_to_office_min,total_commute_min,otp_route_found,car_distance_m,car_driving_time_min,car_parking_time_min,car_total_time_min,commute_time_bucket,transport_attractiveness,monthly_driving_cost,financial_attractiveness_Company Pays Full,financial_attractiveness_50% Subsidy,financial_attractiveness_Employee Pays Full,adoption_score_Company Pays Full,adoption_score_50% Subsidy,adoption_score_Employee Pays Full
EMP001,Klemens Löchel,"Andrei-Weihmann-Ring 9321, 22041 Hamburg",Hamburg,22041,53.576158,10.007046,53.575573,10.006979,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,8.108333333333333,32.0,3.7066666666666666,43.815,True,14719.4,31.45,8,39.45,30-45 min,60.0,138.3164,100,100,80,76.0,76.0,68.0
EMP002,Orhan Seip MBA.,"Ansgar-Davids-Platz 9890, 22855 Norderstedt",Norderstedt,22855,53.712313,9.995697,53.712428,9.99571,,,,,,,,,,,False,4914.3,10.296666666666663,8,18.296666666666663,No route,,79.4858,80,60,60,,,
EMP003,Ing. Erika Förster,"Tom-Schacht-Ring 2, 22844 Norderstedt",Norderstedt,22844,53.712313,9.995697,53.712428,9.99571,,,,,,,,,,,False,4914.3,10.296666666666663,8,18.296666666666663,No route,,79.4858,80,60,60,,,
EMP004,Hans Jürgen Kaul,"Vanessa-Wiek-Ring 71, 21614 Buxtehude",Buxtehude,21614,53.490193,9.761105,53.490427,9.761102,"Rübke, Kurzer Weg",2886314002.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,0.0916666666666666,73.5,3.7066666666666666,77.29833333333333,True,40302.7,61.83166666666667,8,69.83166666666668,60+ min,70.0,291.8162,100,100,100,82.0,82.0,82.0
EMP005,Sandra Schottin,"Beyerweg 78-21, 22089 Hamburg",Hamburg,22089,53.576158,10.007046,53.575573,10.006979,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,8.108333333333333,32.0,3.7066666666666666,43.815,True,14719.4,31.45,8,39.45,30-45 min,60.0,138.3164,100,100,80,76.0,76.0,68.0
EMP006,Annelore Heintze,"Rustplatz 40, 22453 Hamburg",Hamburg,22453,53.456179,9.972123,53.456179,9.972123,Eißendorfer Straße (TU Hamburg),5686864205.0,5.0,"Harksheide, Libellengrund",12461266487.0,1.0,6.53,49.7,3.7066666666666666,59.93666666666667,True,38668.1,49.82333333333334,8,57.82333333333334,45-60 min,60.0,282.00859999999994,100,100,100,76.0,76.0,76.0
EMP007,Mechtild Stoll,"Raimund-Holsten-Straße 62/45, 20095 Hamburg",Hamburg,20095,53.491473,10.207817,53.49146,10.207646,Alte Holstenstraße,339596193.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,1.1133333333333333,45.7,3.7066666666666666,50.52,True,36399.9,60.098333333333336,8,68.09833333333333,45-60 min,100.0,268.3994,100,100,100,100.0,100.0,100.0
EMP008,Univ.Prof. Gotthilf Wilmsen B.Sc.,"Eileen-Schuster-Platz 5276, 21079 Harburg",Harburg,21079,53.452194,9.897592,53.452166,9.898249,"Ehestorf, Hohlredder",478118123.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,6.72,56.9,3.7066666666666666,67.32666666666667,True,38831.6,51.986666666666665,8,59.986666666666665,60+ min,60.0,282.9896,100,100,100,76.0,76.0,76.0
EMP009,Urs Rosenow B.Eng.,"Marie-Beckmann-Ring 5-2, 21682 Buxtehude",Buxtehude,21682,53.490193,9.761105,53.490427,9.761102,"Rübke, Kurzer Weg",2886314002.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,0.0916666666666666,73.5,3.7066666666666666,77.29833333333333,True,40302.7,61.83166666666667,8,69.83166666666668,60+ min,70.0,291.8162,100,100,100,82.0,82.0,82.0
EMP010,Nathalie Sauer,"Gerdi-Ortmann-Straße 32-44, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,80.27666666666666,True,31773.1,44.836666666666666,8,52.836666666666666,60+ min,30.0,240.6386,100,100,100,58.0,58.0,58.0
